# ppt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eco101,eco102,eco103,eco104,eco105,eco201,eco202,eco203,eco204,eco205,eco301,eco302,eco303,eco304,eco305,eco401,eco402,eco403,eco404,eco405,eco501,eco502,eco503,eco504,eco505,eco101,eco102,eco103,eco104,eco105,eco201,eco202,eco203,eco204,eco205,eco301,eco302,eco303,eco304,eco305,eco401,eco402,eco403,eco404,eco405,eco501,eco502,eco503,eco504,eco505,eco101,eco102,eco103,eco104,eco105,eco201,eco202,eco203,eco204,eco205,eco301,eco302,eco303,eco304,eco305,eco401,eco402,eco403,eco404,eco405,eco501,eco502,eco503,eco504,eco505
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm)
1979-01-20T00:00:00Z,0,7.56E-05,6.99E-04,0.00417445,0.003345562,0,7.56E-05,6.99E-04,0.00417445,0.003345562,0,7.56E-05,6.99E-04,0.00417445,0.003345562,0,7.56E-05,6.99E-04,0.00417445,0.003345562,0,7.56E-05,6.99E-04,0.00417445,0.003345562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-21T00:00:00Z,0,0.015816212,0.058914,0.36462107,1.0744858,0,0.015816212,0.058914,0.36462107,1.0744858,0,0.015816212,0.058914,0.36462107,1.0744858,0,0.015816212,0.058914,0.36462107,1.0744858,0,0.015816212,0.058914,0.36462107,1.0744858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-22T00:00:00Z,0,0.031535592,0.052151725,0.2099364,0.37852395,0,0.031535592,0.052151725,0.2099364,0.37852395,0,0.031535592,0.052151725,0.2099364,0.37852395,0,0.031535592,0.052151725,0.2099364,0.37852395,0,0.031535592,0.052151725,0.2099364,0.37852395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-23T00:00:00Z,0.455926,2.7260592,5.3794293,2.8798685,3.4768996,0.455926,2.7260592,5.3794293,2.8798685,3.4768996,0.455926,2.7260592,5.3794293,2.8798685,3.4768996,0.455926,2.7260592,5.3794293,2.8798685,3.4768996,0.455926,2.7260592,5.3794293,2.8798685,3.4768996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-24T00:00:00Z,2.9879858,3.045712,1.3724562,2.2801666,2.3182414,2.9879858,3.045712,1.3724562,2.2801666,2.3182414,2.9879858,3.045712,1.3724562,2.2801666,2.3182414,2.9879858,3.045712,1.3724562,2.2801666,2.3182414,2.9879858,3.045712,1.3724562,2.2801666,2.3182414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-25T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-26T00:00:00Z,0.3941289,0.3073448,0.59617716,1.0536186,2.1925478,0.3941289,0.3073448,0.59617716,1.0536186,2.1925478,0.3941289,0.3073448,0.59617716,1.0536186,2.1925478,0.3941289,0.3073448,0.59617716,1.0536186,2.1925478,0.3941289,0.3073448,0.59617716,1.0536186,2.1925478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-27T00:00:00Z,0.40316677,0.29915464,0.25438964,0.41598874,0.23312126,0.40316677,0.29915464,0.25438964,0.41598874,0.23312126,0.40316677,0.29915464,0.25438964,0.41598874,0.23312126,0.40316677,0.29915464,0.25438964,0.41598874,0.23312126,0.40316677,0.29915464,0.25438964,0.41598874,0.23312126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-28T00:00:00Z,0.089325994,0.041930087,0.0752364,0.11112188,0.05389051,0.089325994,0.041930087,0.0752364,0.11112188,0.05389051,0.089325994,0.041930087,0.0752364,0.11112188,0.05389051,0.089325994,0.041930087,0.0752364,0.11112188,0.05389051,0.089325994,0.041930087,0.0752364,0.11112188,0.05389051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-29T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
